sentence,label
although grass pea belongs leguminoseae family allergic reaction flour rarely described,2
Ginger shown prominent protective effect diabetic liver kidney eye neural system complication,1
A cardiac protection blend CPB nutrient including medium chain triglyceride fish oil key nutrient developed slow progression canine myxomatous mitral valve disease MMVD,1
The preventive effect high-dose 9 regular-fish oil FO bone loss aging demonstrated effect low-dose 1 highly purified concentrated FO CFO elucidated,1
There doubt folic acid fortification effective reducing incidence neural tube defect,1
Staphylococcus aureus leading cause clinical mastitis associated persistent subclinical infection ewe significantly compromising quality quantity milk production,2
Cocoa rich source dietary polyphenols demonstrated cardioprotective effect adult without diabetes,2
Caffeic acid CA shown neuroprotection Alzheimer disease cerebral ischaemia however unclear whether CA confers neuroprotection alpha-synuclein-induced PD model,1
Consumption soy food associated protection cardiometabolic disease mechanism incompletely understood,1
Many Small Island Developing States Caribbean experience triple burden malnutrition high rate obesity undernutrition child iron deficiency anemia woman reproductive age driven inadequate unhealthy diet,0
Accumulating epidemiological study indicated consuming fruit inversely related risk CVDs,1
A recent study confirmed stroke preventive effect Mediterranean diet rich olive oil nut ketogenic diet reduces seizure frequency epilepsy,1
Numerous animal vitro study provided evidence relation garlic intake cancer risk reduction,1
Recent study cardiovascular outcome among patient T2DM clearly shown sodium-glucose cotransporter 2 SGLT2 inhibitor empagliflozin canagliflozin dapagliflozin cardiorenal protective effect apart glucose-lowering effect,2
Aerosolized crab allergen suspected etiologic agent asthma among crab-processing worker,0
Salt sodium chloride NaCl commonly used ready-to-eat RTE meat product biltong South African style dried beef product flavor enhanced moisture loss reduction microbial growth,0
Almost organism produced siderophore hemolytic turkey red blood cell,2
Recent evidence revealed potential ginger reducing diabetes-induced oxidative stress marker,1
Several clinical epidemiological experimental evidence suggest consumption MeDiet reduces incidence certain pathology related oxidative stress chronic inflammation immune system disease cancer atherosclerosis cardiovascular disease CVD,1
Milk often seen potential promotor atherosclerosis coronary heart disease source cholesterol saturated fatty acid,0
Regarding food intake fruit correlated negatively incidence urolithiasis r p 0.008 intake egg r 0.537 p 0.072 sugar r 0.475 p 0.119 tended positively correlate incidence,1
Rice fortification vitamin mineral potential increase nutrition rice-consuming country micronutrient deficiency exist,1
Bovine mastitis continues leading cause heavy economic loss dairy industry public health hazard globally,2
Bakers exposed daily flour may susceptible immunologic occupational disease,0
For decade occupational exposure flour dust linked range respiratory disease including occupational asthma thought result exposure fungi present flour,0
"Epicatechin EC main colonic phenolic acid derived flavonoid intake 2,3-dihydroxybenzoic acid DHBA 3,4-dihydroxyphenylacetic acid DHPAA 3-hydroxyphenylpropionic acid HPPA suggested exert beneficial effect diabetes",1
The role properly balanced diet prevention treatment mental disorder suggested vegetable fruit high content nutrient may importance case depressive disorder,2
Exposure cigarette smoke CS associated increased risk several neurological disease stroke Alzheimer disease dementia,0
Regular cocoa consumption shown improve blood pressure BP insulin sensitivity lipid level patient type 2 diabetes T2D using 100 g chocolate 54 g cocoa,1
Diets high salt leading risk death disability globally,0
Regular intake food rich saturated fat meat certain dairy product raise risk coronary heart disease especially smoker,0
No study far shown effect fruit vegetable intake mental disorder Mexican Americans mental illness important health issue,2
Exposure wheat flour guar gum well-known cause occupational respiratory allergy among worker food processing industry,0
Dietary excess animal protein and/or salt implicated risk factor calcium oxalate urolithiasis,0
Besides food-additive function ginger long history medicinal use treatment variety human ailment including common cold fever rheumatic disorder gastrointestinal complication motion sickness diabetes cancer etc,1
Many infectious disease originating carried wildlife affect wildlife conservation biodiversity livestock health human health,2
High level consumption 92 times/month fermented food doenjang chungkookjang kimchi fermented seafood makgeolli beer associated lower prevalence AD OR 0.56 95 confidence interval CI 0.37-0.84,1
Wheat food allergen occasionally cause systemic allergic reaction however little known quantity wheat allergen required evoke allergic symptom,0
Wheat maize corn flour staple crop consumed widely throughout world fortified folic acid 80 country prevent neural tube defect,1
"Eucalyptol 1,8-cineole major constituent eucalyptus oil EO used traditional medicine remedy cold bronchitis",1
Several study shown high consumption vegetable fruit consistently associated low risk oxidative stress-induced disease includes degenerative disease amyotrophic lateral sclerosis Alzheimer Parkinson,1
We previously demonstrated sulforaphane dietary isothiocyanate derived glucosinolate precursor found broccoli prevent cartilage destruction cell vitro vivo model osteoarthritis,1
Garlic constituent reported preventive effect colorectal cancer animal model,1
Many viral pathogen fish e.g infectious salmon anaemia viral haemorrhagic septicaemia shrimp e.g white spot syndrome virus affect large proportion global production key susceptible specie,2
Three recent meta-analyses found significant prospective inverse association chocolate intake cardiovascular disease risk,1
The hypothesis vitamin A food rich vitamin A milk protects development airway obstruction tested subsample data 1971-1975 National Health Nutrition Examination Survey,1
Pistachio cashew nut belong botanical family tree nut induce serious allergic reaction,0
Recent evidence also suggested carnitine red meat precursor trimethylamine-N-oxide shown cause atherosclerosis may increase risk suffering CVD experimental animal,0
There limited data available regarding relationship bone fracture history calcium intake sugar sweetened beverage SSBs intake vitamin D status physical activity PA ethnicity body composition New Zealand NZ child,2
Maternal dietary intervention pregnancy fish oil high dose vitamin D shown reduce incidence asthma wheeze offspring potentially microbial effect pregnancy early childhood,1
Bread staple food majority people worldwide high glycemic effect,0
The autocrine paracrine endocrine action myokines include regulation energy expenditure insulin sensitivity lipolysis free fatty acid oxidation adipocyte browning glycogenolysis glycogenesis general metabolism,2
Despite high acceptability Allium sativa Garlic remedy many disease earlier stated manyresearchers previous study shown chronic unregulated consumption garlic may result intra vascularhaemolytic anaemia rat,0
Biologically active peptide milk protein used effective dietary supplement management bone-associated issue including osteoporosis,1
Over one thousand cultivar Punica granatum Punicaceae known traditionally used treat various ailment,1
There sparse evidence association suitable food substitution red processed meat risk type 2 diabetes,2
Poor dietary habit contribute obesity pandemic related cardiovascular disease respective impact high saturated fat versus added sugar consumption remains debated,2
Epidemiological study presented inconsistent evidence correlation fish-oriented dietary intake FDI risk cognitive decline,2
A long-standing body clinical observation associate low 24-h total water intake TWI water beverage food moisture acute renal disorder kidney stone urinary tract infection,2
In study HD11 chicken macrophage cell line chicken peripheral blood mononuclear cell-derived macrophage PBMCs-MA infected IBV multiplicity infection MOI 10,2
Evidence regarding health benefit oolong tea consumption accumulating tea polyphenols various pharmacological property anti-cancer anti-diabetes effect,1
Ginger rizhome Zingiber officinale Roscoe widely used ethnomedicine cure several ailment,1
Risk factor include male sex obesity hypertension alcohol intake diuretic use diet rich meat seafood chronic kidney disease diet heavy fructose-rich food beverage member certain ethnic group including Taiwanese Pacific Islander New Zealand Maori living high-income country,2
The present review summarize current knowledge potential cancer preventive effect apple apple juice apple extract jointly designated apple product,2
The association egg consumption total coronary heart disease CHD stroke mortality poorly understood,2
Garlic Allium sativum popular spice remedy variety ailment also known medicinal us antibiotic antithrombotic antineoplastic agent,1
Omega-3 fatty acid omega-3FAs Docosahexaenoic acid DHA Eicosapentanoic acid EPA active ingredient fish oil larger health benefit various disease including cardiovascular neurodegenerative cancer bone disease,1
The nutraceuticals identified dietary agent butein cardamonin coronarin D curcumin diosgenin embelin gambogic acid genistein plumbagin quercetin reseveratrol zerumbone modulate cell signaling pathway reverse/slow osteoporosis,1
The fruit Lycium chinense LC one popular natural material used counter effect musculoskeletal disease oriental medicine,1
The health benefit garlic including inhibition carcinogenesis supported several epidemiologic laboratory finding,1
Leukotoxin purified preparative SDS-PAGE used production chicken polyclonal antibody PAb served primary detecting antibody,2
A diet based adequate intake calcium 1000-1200 mg per day containment animal protein salt decrease significantly urinary supersaturation calcium oxalate reduce relative risk stone recurrence hypercalciuric renal stone former,1
Curcuma longa CL turmeric Ayurvedic herb traditionally used treat inflammatory condition like rheumatoid arthritis RA,1
The nutrition pyramid described narrative review hypothetical even light several limitation present review main limitation fact date randomized controlled trial literature clearly showing improved nutrition via regulation carbon dioxide produced/oxygen consumed inflammation oxidative stress improves symptom and/or progression COPD,1
Mulberry Morus alba L. leaf widely used herbal tea prevent heat stroke,1
A misconception milk lactose intolerance increase disease activity inflammatory bowel disease lead exclusion dietary dairy product patient increased risk low bone mineral density,2
Adults aged 50 year older epilepsy face increased risk fracture associated age use antiepileptic drug,0
Many report indicated luteolin flavone found various food preventive therapeutic value neurodegenerative disease including AD,1
Natural antioxidant food source natural product resveratrol curcumin green tea polyphenols vitamin E promising therapeutic agent oxidative stress-mediated neurodegenerative disease fewer adverse effect tolerable cheaper sustainable long term consumption,1
Staphylococcus aureus one common mastitis-causing bacteria dairy cow,2
Therefore study present neuroprotective potential lemon tangerine peels-derived EOs possibility exploration neuroactive agent alternative management Alzheimer disease AD,1
Almond kernel contain phytochemical positive health effect relation heart disease diabetes obesity,1
Their diet differ amount total fat olive oil type meat wine intake milk vs. cheese fruit vegetable rate coronary heart disease cancer lower death rate longer life expectancy occurring Greece,2
Plant nutrient plant-based diet could beneficial effect patient CKD increased fibre intake shift gut microbiota towards reduced production uraemic toxin plant fat particularly olive oil anti-atherogenic effect plant anion might mitigate metabolic acidosis slow CKD progression plant phosphorus lower bioavailability animal phosphorus plant-based diet might enable better control hyperphosphataemia,1
High fructose corn syrup HFCS sweetened soft drink intake linked asthma US high-schoolers,0
The result showed FAdV-4 infection rate 65.2 443/679 rate breeder duck almost two-fold higher breeder chicken 68.57 vs. 34.30,2
The main cause death tuberculosis pneumonia malnutrition typhoid fever,2
Tropical food seaweed tropical fruit including indigenous fruit Davidson plum effective reducing sign metabolic syndrome rat well reducing degeneration bone cartilage altering gut microbiome,1
Wheat potent allergen source one cause baker asthma food pollen allergy,0
Fruit vegetable intake associated reduced risk cardiovascular disease,1
Infections cow udder leading mastitis reducing milk quality critical challenge facing dairy farmer,2
Ginkgo biloba long used ancient China treatment cough asthma lung disease,1
Shenzao jiannao oral liquid SZJN traditional Chinese preparation approved China Food Drug Administration CFDA used treatment insomnia mind fatigue present efficacy nourishing kidney,1
Pulses including pea good source protein dietary fiber folic acid iron reported reduce risk cardiovascular disease diabetes,1
All evaluated pepper Capsicum genus exhibited anti-hyperglycemia anti-hypertension potential,1
Evidence support protective effect garlic stomach colorectal breast cancer human,1
Fruit vegetable intake reported one significant protective factor development cardiovascular disease CVD,1
Environmental pollutant pesticide herbicide additive food water electromagnetic field threaten public health promotion cancer heart disease chronic disease aging,1
Thus recently hypothesized gut microbiota could part mechanistic link consumption high fat unbalanced diet impaired cognition termed axis,2
Capsinoids nonpungent chili pepper cultivar reported reduce body fat mass promote metabolism improve unidentified complaint chill,1
We describe first case fig allergy occurred cross-reactivity fig Derp 1,0
Bronchial provocation test occupational exposure flour provoked dual asthmatic reaction accompanied rhinitis two atopic baker engaged manufacture bread pie,0
Home fortification micronutrient powder MNP shown reduce anaemia high overall acceptability adherence limited evidence West Africa,1
Infectious bronchitis IB viral infection chicken respiratory tract cause substantial economic burden industry,2
Among dietary habit especially excessive salt typical processed food implicated development autoimmune disease,0
We previously demonstrated consumption iso-alpha-acids IAA hop-derived bitter compound beer prevents formation disease pathology transgenic mouse model Alzheimer disease AD,1
The reported incidence osteoporosis lower country Mediterranean diet predominates apparent relationship may mediated phenolic compound present olive oil,1
Flavonoid antioxidant 2- 3-phenylchroman structure quercetin kaempferol myricetin apigenin luteolin constituent fruit vegetable tea wine may reduce coronary disease cancer described,1
Excessive salt intake important risk factor disease hypertension stroke stomach cancer,0
Osteoporosis common skeletal disorder human gelatin hydrolysate mammal reported improve osteoporosis,1
Food supplementation fiber mix guar gum chickpea flour represents promising approach reduce risk type 2 diabetes mellitus T2DM attenuating postprandial glycemia,1
Recently prevalence food allergy childhood increasing fruit common allergen,0
The result reported study show influence gender place residence smoking consumption alcohol arthroscopy surgery osteoporosis rheumatoid arthritis Fe Ni Mo V concentration studied structure knee joint,2
Infectious salmon anaemia ISA serious viral disease farmed Atlantic salmon Salmo salar,2
Avocado soybean unsaponifiables ASU proven safety effectiveness clinical study knee osteoarthritis OA however whether ASU exerts structure-modifying effect still elucidated,1
However also evidence detrimental effect milk risk hip fracture,1
Date fruit Phoenix dactylifera L. traditionally used medicine many culture treatment range ailment stomach intestinal disorder fever oedema bronchitis wound healing,1
Curcumin compound found Indian yellow curry known posse various biological activity including anti-oxidant anti-inflammatory anti-cancer activity,1
Our previous study suggests ginger root extract reverse behavioral dysfunction prevent Alzheimer disease AD symptom induced amyloid-beta protein ABeta rat model,1
We previously demonstrated iso-alpha-acids IAAs hop-derived bitter component beer improve memory impairment aged Alzheimer disease mouse model,1
Among factor diet high fat carbohydrate content implicated obesity,0
Calcium bioactive peptide yet unidentified component whole milk may protect hypertension folic acid vitamin B6 pyridoxine B12 cyanocobalamin unidentified component skim milk may contribute low homocysteine level,1
Evidence association Mediterranean diet pregnancy childhood asthma allergy related outcome conflicting,2
Interestingly many Indian tribe use Bombax ceiba L. Bombacaceae fruit traditional medicine treatment urinary stone,1
In immunohistochemical assay antiserum recognizing somatic serotype 11 antigen generated chicken could specifically detect P. multocida indicating antiserum somatic serotyping useful immunohistochemical diagnosis rabbit pasteurellosis,2
Ginger Zingiber officinale Roscoe Zingiberaceae documented ameliorate hyperlipidemia hyperglycemia oxidative stress inflammation,1
Docosahexaenoic acid DHA fatty acid abundant brain reported protective effect Alzheimer disease although mechanistic effect DHA Alzheimer pathophysiology remain unclear,1
Xuezhikang XZK extract derived red yeast rice commonly employed traditional Chinese medicine treating coronary heart disease improving endothelial function decreasing blood lipid preventing cardiovascular event within China globally,1
Pistachio cashew contain allergenic protein cause removed diet allergic people,0
Allium fistulosum Welsh onion traditional medicinal plant used treatment cold influenza abdominal pain headache heart disease,1
Among phenolic compound extracted extra virgin olive oil oleocanthal 1 attracted considerable attention modulation many human disease inflammation Alzheimer disease AD,1
Onion Allium cepa handling induce contact dermatitis rhinoconjunctivitis asthma,0
The intake processed meat associated several adverse health outcome type II diabetes cancer however mechanism fully understood,0
Our previous study shown beneficial effect walnut memory learning skill transgenic mouse model Alzheimer disease AD-tg,1
Avian infectious bronchitis virus IBV avian pathogenic Escherichia coli APEC two important respiratory pathogen chicken,2
Wheat one major crop grown processed consumed humankind associated intolerance notably coeliac disease allergy,0
Fortification wheat flour deemed useful strategy reduce anaemia population,1
This review summarizes mechanism effect Dead Sea salt hard water commercial baby cleanser oatmeal rice natural oil bathing additive treatment atopic dermatitis,1
The cause gastrointestinal perforation collagen disease reported functional gastrointestinal disorder collagen disease like amyloidosis gastrointestinal infection immunocompromised patient side effect medication steroid NSAIDs MTX,0
Therefore novel therapeutic strategy long investigated curcumin Curcuma longa shown property prevent deleterious process involved neurodegenerative disease,1
In rice allergy protein molecular mass 14-16 26 33 56 kDa demonstrated potentially allergenic,0
Pagophagia compulsive ice chewing particular form pica characterized ingestion ice freezer frost iced drink,2
The origin AD multifactorial many metabolic disorder originating overconsumption fat cholesterol sugar associated higher risk AD later life,0
Aluminium Al neurotoxin lately implicated one possible causal factor contributing Alzheimer disease,2
These effect related protection cognitive decline associated aging disease number polyphenols found red wine extra virgin olive oil,1
Finally limited epidemiological evidence available fruit vegetable consumption cognition generally supported protective role macronutrients cognitive decline dementia AD,1
Thus obesity associated altered relationship food consumption hedonic response food reward well reduced satiety effect woman,2
In 2.8 control group ISAC-test failed detect allergy sensitization caused dust mite shrimp Anisakis seed storage protein,0
Increased consumption processed food modern world contributed high salt intake thus increased prevalence hypertension among Malaysian population,0
These result imply sequential extract honeybush tea particularly aqueous ethyl acetate extract may exhibit antioxidant potential also mediate anti-hyperglycemia activity inhibiting lipid carbohydrate digestion,1
Bredemolic acid BA isomer maslinic acid reported ameliorate intermediate hyperglycaemia found prediabetes however effect triterpene cardiovascular function yet determined,1
We report case IgE-mediated hypersensitivity lemon seed,2
The indulgence alcoholic beverage moderation contrasted inestimable risk danger alcohol abuse many cardiovascular implication cardiac arrhythmia cardiomyopathy arterial hypertension,2
Breast milk completely adapted nutrition source newborn also impressive array immune-active molecule afford protection infection shape mucosal immune response,1
A high percentage total calorie ultra-processed food associated several cardiovascular disease risk factor,0
Twenty-three positive bronchial nasal challenge performed 16 patient six farmer six bakery worker four food industry worker asthma rhinitis diagnosed caused cereal flour grain cow epithelium storage mite garlic soy dust,0
We recently identified sodium n-propyl thiosulfate NPTS sodium 2-propenyl thiosulfate 2PTS boiled onion garlic respectively causative agent hemolytic anemia dog,0
Current dietary guideline recommend patient chronic kidney disease CKD restrict individual nutrient sodium potassium phosphorus protein,0
The predominant urinary tract stone tribal Satpura belt bladder stone may related poor nutrition low socioeconomic status consumption bajra millet staple food found region 93.5,0
Migraine attack produced frequently cow milk 10 17 patient cabbage flour egg 5 patient preservative cottage Swiss cheese porcine meat 4 patient colorants chocolate 3 patient beef strawberry lemon butter 2 patient,0
Three cook two baker worker grocery store occupationally exposed buckwheat flour developed immediate allergy buckwheat confirmed skin prick testing measurement specific immunoglobulin E antibody,0
Nuts whole grain fruit vegetable contain abundance phenolic compound terpenoids pigment natural antioxidant associated protection and/or treatment chronic disease heart disease cancer diabetes hypertension well medical condition,1
In Japan 2016-2017 winter season clade 2.3.4.4 highly pathogenic avian influenza virus HPAIVs H5N6 subtype caused 12 outbreak chicken Muscovy duck farm,2
Polyphenols olive oil OO virgin olive oil VOO extra virgin olive oil contribute essential role management CVDs,1
All diseased chick showed clinical sign infectious bronchitis including gasping coughing nasal discharge wet eye swollen sinus reduction food consumption weight gain,2
The soluble dietary fiber 1-3 1-4 mixed linked beta-D-glucan cereal grain valuable component healthy diet reduces risk coronary disease diabetes,1
Sword bean known traditional medicinal plant treat cancer sinus infection suppurative disease,1
Soluble oxalate food major concern kidney stone former due tendency increase urinary oxalate concentration,2
The Mediterranean diet MD affect risk myocardial infarction long-term prognosis coronary event,0
With famous Seven Countries Study Keys demonstrated first time population practicing Mediterranean diet Greeks southern Italians showed low mortality rate ischemic heart disease compared people Northern Europe North America,1
A high-calorie diet HCD induces two mutually exacerbating effect contributing diet-induced obesity DIO impaired glucose metabolism increased food consumption,0
Consumption watermelon associated beneficial effect metabolism including reduction systolic blood pressure improved fasting blood glucose level change hepatic metabolite accumulation,1
Salvia officinalis L. sage medicinal plant used ingredient food beverage display wide range biological pharmacological activity including anti-diabetic effect,1
These result demonstrated developed immunoassay provided sensitive rapid accurate approach detection AMD chicken employing MBs solid phase SA-BIO signal amplification,2
Milk dairy product containing milk fat major food source saturated fatty acid linked increased risk cardiovascular-related clinical outcome cardiovascular disease CVD coronary heart disease CHD stroke,0
High consumption red meat carcinogenic human misuse abuse alcohol drinking increase premature death shortened life expectancy,2
While many egg milk-allergic child tolerate baked egg BE milk BM reaction elicited oral food challenge OFCs severe,2
The basis recommendation hypothesis postulate consumption food rich saturated fat increase serum cholesterol level increase risk CHD,0
The association specific type nut specifically peanut walnut cardiovascular disease remain unclear,2
A high level education manual-work low level alcohol use regular health check vegetable-based diet fruit milk protective factor VCIND,1
Polyphenols coffee guava tea whortleberry olive oil propolis chocolate red wine grape seed cocoa reported show anti-diabetic effect T2D patient increasing glucose metabolism improving vascular function well reducing insulin resistance HbA1c level,1
Having least three serving vegetable two serving fruit day could help prevent dementia older adult new research suggests,1
Fruit vegetable consumption considered protective effect cardiovascular cerebrovascular disease CVDs,1
Influence protein-containing dust worker result respiratory disease,0
Piscine orthoreovirus PRV-1 cause heart skeletal muscle inflammation HSMI farmed Atlantic salmon,2
Severe allergy fruit mediated 7 kDa allergen belonging gibberellin-regulated protein GRP family known associated Cupressaceae pollinosis,0
Though diabetic cohort consumes lower number snack dessert consume higher amount sugar tea,2
Pakistan among nation high intake trans-fatty acid TFAs major dietary risk factor noncommunicable disease NCDs,0
